Company,Location,Month,Type,Date,Particulars,Voucher Type,Voucher No.,Against Sales Invoice no.,Narration,Quantity,Rate,Value,Gross Total,ledger_id
O-tec,Surat,2026-03,debit note,13/03/2026,PREMIER SPG & WVG MILLS PVT LTD,GST DEBIT NOTE,DN/25-26/68,,Please Issue Debit note to PREMIER SPG & WVG MILLS PVT LTD for Cargo shipping Charges for Spare Part delivery.,,,,5310.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000112f
O-tec,Surat,2026-03,debit note,21/03/2026,M/S NEELIMA GRAPHICS,GST DEBIT NOTE,DN/25-26/69,,BEING AIR CARGO CHARGES AGAINST INVOICE NO.SPARE/25-26/2526 DT:21.03.26,,,,5310.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000fc8
O-tec,Surat,2026-03,debit note,26/03/2026,PEACOCK DIGITAL WORLD-Machine,GST DEBIT NOTE,DN/25-26/72,,,,,,634925.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000010d2
O-tec,Surat,2026-03,debit note,26/03/2026,PEACOCK DIGITAL WORLD-Machine,GST DEBIT NOTE,DN/25-26/73,,BEING 8 TON INK DEBIT NOTE ISSUED 5% CLEARENCE CHARGES,,,,143226.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000010d2
O-tec,Surat,2026-03,debit note,26/03/2026,PEACOCK DIGITAL WORLD-Machine,GST DEBIT NOTE,DN/25-26/74,,BEING DEBIT NOTE ISSUED FOR CENTRING DEVICE AGAINST INVOICE NO.MC/25-26/80 DT:02.10.25,,,,224468.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000010d2
O-tec,Surat,2026-03,debit note,26/03/2026,PEACOCK DIGITAL WORLD-Machine,GST DEBIT NOTE,DN/25-26/75,,BEING DEBIT NOTE ISSUED FOR K64 MACHINE AGAINST INVOICE NO.MC/25-26/62 DT:19.08.25,,,,446355.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000010d2
O-tec,Surat,2026-03,debit note,26/03/2026,PEACOCK DIGITAL WORLD-Machine,GST DEBIT NOTE,DN/25-26/76,,BEING DEBIT NOTE ISSUED AGAINST  22 PCS PRINTHEAD,,,,59846.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000010d2
O-tec,Surat,2026-03,debit note,31/03/2026,VINNY OVERSEAS LIMITED-MACHINE,GST DEBIT NOTE,DN/25-26/77,,BEING MACHINE LOADING & UNLOADING DEBIT NOTE ISSUED,,,,47200.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000014f9
O-tec,Surat,2026-03,debit note,31/03/2026,VINNY OVERSEAS LIMITED-MACHINE,GST DEBIT NOTE,DN/25-26/78,,BEING DEBIT NOTE ISSUED AGAINST  MACHINE UNINSTALLATION AND INSTALLATION CHARGES,,,,94400.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000014f9
O-tec,Noida,2025-07,debit note,05/07/2025,ANAND DYERS,GST DEBIT NOTE,DN/003,,BEING RMA HEAD REJECTED BY PARANT CO DUE TO DANT SO DEBIT NOTE RAISED,,,,324500.00,53d35745-5246-4e1a-a27a-d4769f245b50-00000100
O-tec,Noida,2025-09,debit note,02/09/2025,MEHAR DIGITALS (NOIDA),GST DEBIT NOTE,DN/004,,DEBIT NOTE GIVEN AGAINST CN NO - CN/N/25-26/42,,,,531000.00,53d35745-5246-4e1a-a27a-d4769f245b50-00000114
O-tec,Noida,2026-05,debit note,09/05/2026,VEER HOSIERY PRODUCTS,GST DEBIT NOTE,DN/001,INK/N/26-27/83,,,,,2124.00,53d35745-5246-4e1a-a27a-d4769f245b50-00000c8f
O-tec,Noida,2026-05,debit note,09/05/2026,INERTIA INTERNATIONAL,GST DEBIT NOTE,DN/002,INK/N/26-27/52,,,,,2006.00,53d35745-5246-4e1a-a27a-d4769f245b50-0000197e
Enterprise,Surat,2026-01,debit note,29/01/2026,KIMORA FASHIONS PVT. LTD.,GST DEBIT NOTE,DN/25-26/1,,Heads damaged due to improper earthing. This issue is not covered under RMA policy. We had provided two RICOH headsto the customer under FOC replacement basison challan basis as per below details DC No.: DC/HG/2526/6 ? 01 head // DC No.: DC/HG/2526/6 ? 01 head,,,,377600.00,59a6c2d9-0c5a-4fc5-b8c5-3be6fec3289e-0000012e
Enterprise,Surat,2026-05,debit note,06/05/2026,VINNY OVERSEAS LIMITED,GST DEBIT NOTE,DN/26-27/1,,BEING INK RATE DIFF DEBIT NOTE ISSUED 220KGS@50/- FOR THE MONTH OF APR-26 KY REACTIVE INK,,,,12980.00,59a6c2d9-0c5a-4fc5-b8c5-3be6fec3289e-00000cbe
Enterprise,Surat,2026-05,debit note,06/05/2026,GANGA FASHION PVT LTD,GST DEBIT NOTE,DN/26-27/2,,BEING DEBIT NOTE ISSUED AGAINST KY REACTIVE INK 360KGS@35/- FOR THE MONTH OF APR-26,,,,14868.00,59a6c2d9-0c5a-4fc5-b8c5-3be6fec3289e-00000c56
Enterprise,Surat,2026-05,debit note,06/05/2026,SHALEEN SILK MILLS,GST DEBIT NOTE,DN/26-27/3,,BEING DEBIT NOTE ISSUED RI G6 REACTIVE INK 10KGS@25/- FOR THE MONTH OF APR-26,,,,295.00,59a6c2d9-0c5a-4fc5-b8c5-3be6fec3289e-00000c9b
O-tec,Surat,2026-04,debit note,14/04/2026,GANGA FASHION PVT LTD,GST DEBIT NOTE,DN/26-27/1,,BEING RATE DIFF DEBIT NOTE ISSUED RJM INK 5KGS@100/- FOR THE MONTH OF MAR-26,,,,590.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000ca5
O-tec,Surat,2026-04,debit note,15/04/2026,VINNY OVERSEAS LIMITED,GST DEBIT NOTE,DN/26-27/2,INK/25-26/6179,BEING DEBIT NOTE ISSUED AGAINST KY REACTIVE INK 1220KGS@110/- BY MISTAKE DOUBLE QTY CREDIT NOTE ISSUED FOR THE MONTH OF NOV-25,,,,158356.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000014f8
O-tec,Surat,2026-04,debit note,16/04/2026,RAJLAXMI DIGITAL,GST DEBIT NOTE,DN/26-27/4,HEAD/26-27/11,BEING HEAD DEBIT NOTE ISSUED AGAINST INVOICE NO.HEAD/26-27/11 DT:15.04.26,,,,31860.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000119e
O-tec,Surat,2026-05,debit note,13/05/2026,RAMLAXMAN INDUSTRIES PVT LTD,GST DEBIT NOTE,DN/26-27/7,,BEING HEAD DEBIT NOTE ISSUED AS CONFIRM BY AR & KT,,,,206500.00,a4e100d1-3b6f-4193-876a-c754f1a74552-000011b6
O-tec,Surat,2026-05,debit note,19/05/2026,VISHNU HARI DIGITAL CREATION,GST DEBIT NOTE,DN/26-27/8,CN/1364/25-26,BEING DEBIT NOTE ISSUED AGAINST BILLING RATE IS 725 & CN ISSUED 35 BUT ATUAL SALES RETURN IS 720/- SO DIFF AMT@30/- DEBIT NOTE ISSUED,,,,354.00,a4e100d1-3b6f-4193-876a-c754f1a74552-0000150c
O-tec,Surat,2026-05,debit note,25/05/2026,DASS DIGITAL,GST DEBIT NOTE,DN/26-27/9,SPARE/25-26/1494,BEING 15% SPARE PARTS DISCOUNT REVERSED AGAINST INVOICE NO.SPARE/25-26/1494,,,,220.00,a4e100d1-3b6f-4193-876a-c754f1a74552-00000b72
